doc_id_a,doc_id_b
doc_0000,doc_0001
doc_0000,doc_0002
doc_0000,doc_0003
doc_0000,doc_0004
doc_0001,doc_0002
doc_0001,doc_0003
doc_0001,doc_0004
doc_0002,doc_0003
doc_0002,doc_0004
doc_0003,doc_0004
doc_0005,doc_0006
doc_0005,doc_0007
doc_0005,doc_0008
doc_0005,doc_0009
doc_0006,doc_0007
doc_0006,doc_0008
doc_0006,doc_0009
doc_0007,doc_0008
doc_0007,doc_0009
doc_0008,doc_0009
doc_0010,doc_0011
doc_0010,doc_0012
doc_0010,doc_0013
doc_0010,doc_0014
doc_0011,doc_0012
doc_0011,doc_0013
doc_0011,doc_0014
doc_0012,doc_0013
doc_0012,doc_0014
doc_0013,doc_0014
